,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor
0,Intel i815 Graphics,GPU,2000-01-01,150.0,81.35998107852413,194.86235318359778,2692.6519678549353,133.0,Intel,Intel
1,NVIDIA Vanta LT,GPU,2000-03-01,250.0,81.35998107852413,90.0,15.0,105.0,TSMC,NVIDIA
2,Sony Playstation 2 GPU 250nm,GPU,2000-03-04,250.0,79.0,279.0,54.0,147.0,Sony,Other
3,ATI Radeon DDR,GPU,2000-04-01,180.0,23.0,115.0,30.0,166.0,TSMC,ATI
4,ATI Radeon 7200 64 MB,GPU,2000-04-01,180.0,23.0,111.0,30.0,166.0,TSMC,ATI
5,ATI Radeon 7200,GPU,2000-04-01,180.0,23.0,111.0,30.0,166.0,TSMC,ATI
6,NVIDIA GeForce2 GTS PRO,GPU,2000-04-26,150.0,81.35998107852413,88.0,25.0,200.0,TSMC,NVIDIA
7,NVIDIA GeForce2 GTS,GPU,2000-04-26,150.0,81.35998107852413,88.0,25.0,200.0,TSMC,NVIDIA
8,ATI Radeon 7200,GPU,2000-06-01,180.0,23.0,111.0,30.0,143.0,TSMC,ATI
9,ATI Fire GL3,GPU,2000-06-01,180.0,81.35998107852413,156.0,30.0,120.0,IBM,ATI
10,ATI Fire GL2,GPU,2000-06-01,180.0,81.35998107852413,156.0,30.0,120.0,IBM,ATI
11,ATI Radeon SDR PCI,GPU,2000-06-01,180.0,23.0,115.0,30.0,166.0,TSMC,ATI
12,ATI Radeon DDR MAXX,GPU,2000-06-01,180.0,81.35998107852413,115.0,30.0,148.0,TSMC,ATI
13,ATI Radeon SDR,GPU,2000-06-01,180.0,23.0,115.0,30.0,166.0,TSMC,ATI
14,AMD Athlon 700,CPU,2000-06-05,180.0,40.0,120.0,37.0,700.0,Unknown,AMD
15,AMD Athlon 650,CPU,2000-06-05,180.0,38.0,120.0,37.0,650.0,Unknown,AMD
16,AMD Athlon 950,CPU,2000-06-05,180.0,52.0,120.0,37.0,950.0,Unknown,AMD
17,AMD Athlon 800,CPU,2000-06-05,180.0,45.0,120.0,37.0,800.0,Unknown,AMD
18,AMD Athlon 900,CPU,2000-06-05,180.0,50.0,120.0,37.0,900.0,Unknown,AMD
19,AMD Athlon 1000,CPU,2000-06-05,180.0,54.0,120.0,37.0,1000.0,Unknown,AMD
20,AMD Athlon 750,CPU,2000-06-05,180.0,43.0,120.0,37.0,750.0,Unknown,AMD
21,AMD Athlon 850,CPU,2000-06-05,180.0,47.0,120.0,37.0,850.0,Unknown,AMD
