,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor
0,Intel i815 Graphics,1,2000-01-01,150.0,81.35998107852413,194.86235318359778,2692.6519678549353,133.0,2.0,2.0
1,NVIDIA Vanta LT,1,2000-03-01,250.0,81.35998107852413,90.0,15.0,105.0,7.0,3.0
2,Sony Playstation 2 GPU 250nm,1,2000-03-04,250.0,79.0,279.0,54.0,147.0,6.0,4.0
3,ATI Radeon DDR,1,2000-04-01,180.0,23.0,115.0,30.0,166.0,7.0,1.0
4,ATI Radeon 7200 64 MB,1,2000-04-01,180.0,23.0,111.0,30.0,166.0,7.0,1.0
5,ATI Radeon 7200,1,2000-04-01,180.0,23.0,111.0,30.0,166.0,7.0,1.0
6,NVIDIA GeForce2 GTS PRO,1,2000-04-26,150.0,81.35998107852413,88.0,25.0,200.0,7.0,3.0
7,NVIDIA GeForce2 GTS,1,2000-04-26,150.0,81.35998107852413,88.0,25.0,200.0,7.0,3.0
8,ATI Radeon 7200,1,2000-06-01,180.0,23.0,111.0,30.0,143.0,7.0,1.0
9,ATI Fire GL3,1,2000-06-01,180.0,81.35998107852413,156.0,30.0,120.0,1.0,1.0
10,ATI Fire GL2,1,2000-06-01,180.0,81.35998107852413,156.0,30.0,120.0,1.0,1.0
11,ATI Radeon SDR PCI,1,2000-06-01,180.0,23.0,115.0,30.0,166.0,7.0,1.0
12,ATI Radeon DDR MAXX,1,2000-06-01,180.0,81.35998107852413,115.0,30.0,148.0,7.0,1.0
13,ATI Radeon SDR,1,2000-06-01,180.0,23.0,115.0,30.0,166.0,7.0,1.0
14,AMD Athlon 700,0,2000-06-05,180.0,40.0,120.0,37.0,700.0,9.0,0.0
15,AMD Athlon 650,0,2000-06-05,180.0,38.0,120.0,37.0,650.0,9.0,0.0
16,AMD Athlon 950,0,2000-06-05,180.0,52.0,120.0,37.0,950.0,9.0,0.0
17,AMD Athlon 800,0,2000-06-05,180.0,45.0,120.0,37.0,800.0,9.0,0.0
18,AMD Athlon 900,0,2000-06-05,180.0,50.0,120.0,37.0,900.0,9.0,0.0
19,AMD Athlon 1000,0,2000-06-05,180.0,54.0,120.0,37.0,1000.0,9.0,0.0
20,AMD Athlon 750,0,2000-06-05,180.0,43.0,120.0,37.0,750.0,9.0,0.0
21,AMD Athlon 850,0,2000-06-05,180.0,47.0,120.0,37.0,850.0,9.0,0.0
22,AMD Athlon 600,0,2000-06-05,180.0,38.0,120.0,37.0,600.0,9.0,0.0
23,3dfx Voodoo5 5500 PCI,1,2000-06-22,250.0,30.0,112.0,14.0,166.0,7.0,4.0
24,3dfx Voodoo5 5500 AGP,1,2000-06-22,250.0,30.0,112.0,14.0,166.0,7.0,4.0
25,NVIDIA GeForce2 MX DH Pro TV,1,2000-06-28,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
26,NVIDIA GeForce2 MX,1,2000-06-28,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
27,NVIDIA GeForce2 MX PCI,1,2000-06-28,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
28,NVIDIA GeForce2 MX DH Pro TV PCI,1,2000-06-28,180.0,81.35998107852413,64.0,20.0,175.0,7.0,3.0
29,NVIDIA Quadro2 MXR Low Profile,1,2000-07-25,180.0,81.35998107852413,64.0,20.0,200.0,7.0,3.0
30,NVIDIA Quadro2 MXR,1,2000-07-25,180.0,81.35998107852413,64.0,20.0,200.0,7.0,3.0
31,Intel Pentium III 1133,0,2000-07-31,180.0,29.0,80.0,44.0,1133.0,2.0,2.0
32,ATI All-In-Wonder Radeon 7200,1,2000-07-31,180.0,81.35998107852413,111.0,30.0,166.0,7.0,1.0
33,AMD Athlon 1100,0,2000-08-14,180.0,60.0,120.0,37.0,1100.0,9.0,0.0
34,NVIDIA GeForce2 Ultra,1,2000-08-14,150.0,81.35998107852413,88.0,25.0,250.0,7.0,3.0
35,ATI GameCube GPU,1,2000-08-24,180.0,45.0,120.0,51.0,162.0,3.0,1.0
36,3dfx Voodoo4 4500 AGP,1,2000-10-13,250.0,15.0,112.0,14.0,166.0,7.0,4.0
37,3dfx Voodoo4 4500 PCI,1,2000-10-13,250.0,15.0,112.0,14.0,166.0,7.0,4.0
38,AMD Athlon 1200,0,2000-10-17,180.0,66.0,120.0,37.0,1200.0,9.0,0.0
39,AMD Athlon 1200,0,2000-10-31,180.0,66.0,120.0,37.0,1200.0,9.0,0.0
40,AMD Athlon 1133,0,2000-10-31,180.0,63.0,120.0,37.0,1133.0,9.0,0.0
41,AMD Athlon 1000,0,2000-10-31,180.0,54.0,120.0,37.0,1000.0,9.0,0.0
42,NVIDIA GeForce2 Go,1,2000-11-11,180.0,2.0,64.0,20.0,143.0,7.0,3.0
43,NVIDIA GeForce2 Go,1,2000-11-11,180.0,2.0,64.0,20.0,143.0,7.0,3.0
44,Intel Pentium 4 1.5,0,2000-11-20,180.0,58.0,217.0,42.0,1500.0,2.0,2.0
45,Intel Pentium 4 1.4,0,2000-11-20,180.0,55.0,217.0,42.0,1400.0,2.0,2.0
46,NVIDIA GeForce2 PRO,1,2000-12-05,150.0,81.35998107852413,88.0,25.0,200.0,7.0,3.0
47,AMD Athlon XP-M 2200+,0,2001-01-01,130.0,45.0,101.0,63.0,1667.0,9.0,0.0
48,AMD Athlon XP 1800+,0,2001-01-01,130.0,51.0,80.0,37.0,1533.0,9.0,0.0
49,Intel Pentium 4 HT 515,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
50,AMD Athlon XP-M 2400+,0,2001-01-01,130.0,45.0,101.0,63.0,1800.0,9.0,0.0
51,AMD Athlon XP 2600+ DTR,0,2001-01-01,130.0,68.0,101.0,63.0,1917.0,9.0,0.0
52,Intel Pentium 4 2.0,0,2001-01-01,130.0,110.0,146.0,55.0,2000.0,2.0,2.0
53,AMD Athlon 64 3400+,0,2001-01-01,130.0,89.0,193.0,105.0,2400.0,9.0,0.0
54,AMD Athlon 64 3200+,0,2001-01-01,130.0,89.0,193.0,105.0,2200.0,9.0,0.0
55,AMD Athlon XP 2800+ DTR,0,2001-01-01,130.0,68.0,101.0,63.0,2083.0,9.0,0.0
56,AMD Athlon XP 2800+,0,2001-01-01,130.0,68.0,101.0,63.0,2083.0,9.0,0.0
57,Matrox Parhelia HR256,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
58,AMD Athlon 64 3200+,0,2001-01-01,90.0,59.0,84.0,69.0,2200.0,9.0,0.0
59,AMD Athlon 64 3700+,0,2001-01-01,90.0,89.0,199.0,233.0,2200.0,9.0,0.0
60,AMD Athlon 64 3400+,0,2001-01-01,90.0,67.0,84.0,69.0,2400.0,9.0,0.0
61,Intel Pentium 4 HT 517,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
62,AMD Athlon XP 1700+,0,2001-01-01,130.0,50.0,80.0,37.0,1467.0,9.0,0.0
63,Intel Pentium 4 HT 515,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
64,AMD Sempron 2200+,0,2001-01-01,130.0,62.0,101.0,63.0,1500.0,9.0,0.0
65,AMD Athlon 64 X2 3600+,0,2001-01-01,90.0,89.0,156.0,154.0,2000.0,9.0,0.0
66,AMD Athlon XP 2100+,0,2001-01-01,130.0,62.0,80.0,37.0,1733.0,9.0,0.0
67,AMD Sempron 2300+,0,2001-01-01,130.0,62.0,101.0,63.0,1583.0,9.0,0.0
68,AMD Athlon 64 3000+,0,2001-01-01,90.0,51.0,84.0,69.0,2000.0,9.0,0.0
69,AMD Sempron 2600+,0,2001-01-01,130.0,25.0,144.0,69.0,1600.0,9.0,0.0
70,AMD Athlon XP 1600+,0,2001-01-01,130.0,49.0,80.0,37.0,1400.0,9.0,0.0
71,Intel Pentium 4 HT 517,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
72,AMD Athlon 64 3000+,0,2001-01-01,90.0,51.0,84.0,69.0,2000.0,9.0,0.0
73,Matrox Parhelia Precision SGT,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
74,AMD Athlon XP-M 2500+,0,2001-01-01,130.0,45.0,101.0,63.0,1862.0,9.0,0.0
75,AMD Athlon XP 3200+,0,2001-01-01,130.0,77.0,101.0,63.0,2200.0,9.0,0.0
76,Intel Pentium 4 HT 516,0,2001-01-01,90.0,84.0,109.0,125.0,2933.0,2.0,2.0
77,AMD Athlon XP-M 2600+,0,2001-01-01,130.0,45.0,101.0,63.0,2000.0,9.0,0.0
78,AMD Sempron 2800+,0,2001-01-01,130.0,25.0,144.0,69.0,1600.0,9.0,0.0
79,AMD Athlon 64 4000+,0,2001-01-01,90.0,89.0,199.0,233.0,2400.0,9.0,0.0
80,AMD Sempron 2800+,0,2001-01-01,130.0,62.0,101.0,63.0,2000.0,9.0,0.0
81,AMD Sempron 3300+,0,2001-01-01,130.0,62.0,101.0,63.0,2200.0,9.0,0.0
82,AMD Athlon XP 2200+,0,2001-01-01,130.0,63.0,80.0,37.0,1800.0,9.0,0.0
83,AMD Athlon 64 3400+,0,2001-01-01,90.0,67.0,83.0,69.0,2200.0,9.0,0.0
84,AMD Sempron 2600+,0,2001-01-01,130.0,62.0,101.0,63.0,1833.0,9.0,0.0
85,AMD Athlon XP-M 3000+,0,2001-01-01,130.0,45.0,101.0,63.0,2200.0,9.0,0.0
86,AMD Athlon XP 1700+,0,2001-01-01,130.0,50.0,80.0,37.0,1467.0,9.0,0.0
87,Matrox Parhelia PCI,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
88,AMD Athlon XP 2600+,0,2001-01-01,130.0,68.0,101.0,63.0,1917.0,9.0,0.0
89,Intel Pentium 4 HT 524,0,2001-01-01,90.0,84.0,109.0,125.0,3060.0,2.0,2.0
90,Intel Pentium 4 HT 524,0,2001-01-01,90.0,84.0,109.0,125.0,3060.0,2.0,2.0
91,Intel i830M Graphics,1,2001-01-01,150.0,81.35998107852413,109.0,125.0,166.0,2.0,2.0
92,AMD Athlon 64 3500+,0,2001-01-01,90.0,67.0,115.0,105.0,2200.0,9.0,0.0
93,AMD Athlon XP-M 2000+,0,2001-01-01,130.0,45.0,101.0,63.0,1533.0,9.0,0.0
94,AMD Sempron 2400+,0,2001-01-01,130.0,62.0,101.0,63.0,1667.0,9.0,0.0
95,AMD Sempron 3100+,0,2001-01-01,130.0,25.0,144.0,69.0,1800.0,9.0,0.0
96,AMD Athlon XP 1900+,0,2001-01-01,130.0,53.0,80.0,37.0,1600.0,9.0,0.0
97,AMD Sempron 3000+,0,2001-01-01,130.0,25.0,144.0,69.0,1800.0,9.0,0.0
98,AMD Sempron 2500+,0,2001-01-01,130.0,62.0,101.0,63.0,1750.0,9.0,0.0
99,AMD Athlon XP 3000+,0,2001-01-01,130.0,68.0,101.0,63.0,2100.0,9.0,0.0
100,Matrox Parhelia Precision SDT,1,2001-01-01,150.0,81.35998107852413,174.0,80.0,200.0,8.0,4.0
